代碼,公司,產業,年,市值,股價淨值比,資產
1789,台灣神隆 ,生技醫療業,2011,203245100,4720.187596,9480188
1795,美時製藥 ,生技醫療業,2013,67176156.6,-2122.270865,4259817
1795,美時製藥 ,生技醫療業,2015,165751731.5,627.1367367,15501941
1799,易威 ,生技醫療業,2013,11086588.2,-14939.04139,290716
1799,易威 ,生技醫療業,2013,11086588.2,-14939.04139,290716
1808,潤隆 ,建材營造業,2016,68756860.59,15064.35854,18680673
2007,燁興公司 ,鋼鐵工業,2017,26850970.96,-6858.336716,18080761
2009,第一伸銅 ,鋼鐵工業,2016,26360307.26,-6041.962957,5129803
2023,燁輝 ,鋼鐵工業,2017,222183472,6154.395679,87228348
2025,千興 ,鋼鐵工業,2015,7005499.97,-58353.15135,2573705
2035,唐榮公司 ,鋼鐵工業,2014,145425000,2411.538594,25267432
2038,海光企業 ,鋼鐵工業,2016,11117558.76,10137.11755,5922050
2049,上銀科技 ,電機機械,2008,48322752,16596.57132,10255644
2049,上銀科技 ,電機機械,2009,67977516.14,4105.283862,10013457
2061,風青 ,電器電纜,2010,6122215.6,8557.196189,1357821
2061,風青 ,電器電纜,2011,10392701.22,-920.5498934,1423418
2062,橋椿 ,其他業,2011,35126500,11713.0087,6206329
2062,橋椿 ,其他業,2015,64397752.86,9684.608116,9732887
2063,世鎧 ,鋼鐵工業,2011,6802833.24,18503.31995,916802
2208,台船公司 ,航運業,2009,140950322.1,17468.75753,31959603
2221,大甲永和 ,其他業,2014,7114672.5,4262.880688,1112403
2230,泰茂 ,電機機械,2017,5189866.3,-3395.655877,1025678
2301,光寶科技 ,電腦及週邊設備業,2017,954452002,2754.810084,189995757
2303,聯電 ,半導體業,2017,1792653255,5371.219432,394099162
2312,金寶電子 ,其他電子業,2015,132979923.8,10612.33876,41580105
2313,華通 ,電子零組件業,2016,180918367.1,8984.16245,50199161
2317,鴻海 ,其他電子業,2017,16496958862,8409.695518,3407216613
2332,友訊科技 ,通信網路業,2017,69111586.6,-2799.110967,17204362
2337,旺宏 ,半導體業,2011,767322507.6,3801.529306,68123835
2342,茂矽 ,半導體業,2017,20309042.85,-1196.757532,2659335
2348,海悅 ,其他業,2017,22855200,7992.71063,1781223
2349,錸德科技 ,光電業,2012,155393539.8,-14429.58956,45947178
2349,錸德科技 ,光電業,2013,195110884,-16026.51751,40095663
2352,佳世達 ,電腦及週邊設備業,2010,306200954.9,12213.26694,99572037
2358,廷鑫 ,其他業,2015,12954000,-14756.90906,727071
2371,大同 ,電機機械,2011,178038742.9,7750.279393,224535859
2371,大同 ,電機機械,2012,171488040.1,-20481.38166,201282042
2373,震旦行 ,其他電子業,2017,203842757.5,8883.641598,16490552
2376,技嘉 ,電腦及週邊設備業,2016,253974896.2,9027.915885,36224050
2387,精元電腦 ,電腦及週邊設備業,2017,38249694.5,5563.678424,13127397
2409,友達 ,光電業,2016,1089464545,7176.863197,429769251
2412,中華電 ,通信網路業,2010,4887191295,9741.566705,454310732
2412,中華電 ,通信網路業,2016,7518517148,5329.110676,447132505
2412,中華電 ,通信網路業,2017,8222893290,4727.521522,451123122
2419,仲琦 ,通信網路業,2016,42176429.76,10652.20557,8106701
2448,晶電 ,光電業,2014,673821550,2686.666819,91959039
2449,京元電子 ,半導體業,2008,61224821.2,6341.333341,41769264
2454,聯發科 ,半導體業,2016,3302501006,7176.560417,370711772
2466,冠西電 ,光電業,2015,47439265.55,-1670.283026,3339351
2475,華映 ,光電業,2009,1716163223,-22152.25539,151205377
2475,華映 ,光電業,2011,81641121.66,-152863.1619,100045995
2475,華映 ,光電業,2013,129589082,-37448.23194,90514298
2481,強茂 ,半導體業,2011,47458982.56,-11288.86401,24594656
2485,兆赫電子 ,通信網路業,2017,100389724,309.8325084,8417645
2506,太設 ,建材營造業,2017,41409000,285.7591345,14432826
2511,太子 ,建材營造業,2017,195610795.1,6549.234666,50275125
2524,京城 ,建材營造業,2017,85692366.1,9043.909455,32671926
2597,潤弘精密 ,建材營造業,2008,18000000,20941.5,4850513
2597,潤弘精密 ,建材營造業,2011,20304000,10347.36998,8280926
2597,潤弘精密 ,建材營造業,2011,20304000,10347.36998,8280926
2609,陽明海運 ,航運業,2017,267147852,1201.016582,132876410
2633,台灣高鐵 ,航運業,2015,582950472,35805.15156,506604216
2633,台灣高鐵 ,航運業,2016,1011967081,4100.032576,461207372
2637,慧洋-KY ,航運業,2010,64416000,17507.15661,34690242
2637,慧洋-KY ,航運業,2012,109407601,19195.80524,56339746
2637,慧洋-KY ,航運業,2016,154782276.5,9043.516039,85651615
2702,華園 ,觀光事業,2017,14629114.5,-157.7675805,5306307
2718,晶悅 ,觀光事業,2009,5458080,1459.6708,373063
2718,晶悅 ,觀光事業,2010,7968000,3010.165663,407297
2722,夏都 ,觀光事業,2010,25048372,5419.833273,1197314
2722,夏都 ,觀光事業,2010,25048372,5419.833273,1197314
2724,富驛-KY ,觀光事業,2013,11631897.45,4391.630877,2097272
2724,富驛-KY ,觀光事業,2017,2931408.9,-83779.85071,1138158
2732,六角國際 ,觀光事業,2016,24461808.84,6201.29938,1658788
2740,天蔥 ,觀光事業,2016,4529819.7,-9269.684619,401125
2923,鼎固-KY ,建材營造業,2014,484150625.4,5987.109895,119508314
2926,誠品生活 ,文化創意業,2016,71335715.41,5896.94794,4831669
3011,今皓 ,電子零組件業,2014,11835516,-5933.243637,2272879
3011,今皓 ,電子零組件業,2017,8036878.96,-12697.21748,1793682
3014,聯陽 ,半導體業,2008,62217285.62,6558.402475,6663262
3014,聯陽 ,半導體業,2016,43794330.82,8310.801722,4708377
3016,嘉晶 ,半導體業,2010,27280380,2797.50502,1269115
3016,嘉晶 ,半導體業,2015,14239442.52,1632.507731,2093052
3017,奇鋐科技 ,電腦及週邊設備業,2011,51588226.51,12905.71599,16071034
3032,偉訓科技 ,電子零組件業,2013,10762359.52,4652.883032,2520773
3032,偉訓科技 ,電子零組件業,2013,10762359.52,4652.883032,2520773
3035,    智原 ,半導體業,2014,190863981,3555.851641,8346780
3043,科風 ,其他電子業,2012,29816349.3,-37282.36441,3093881
3043,科風 ,其他電子業,2015,6041221.1,-11841.81125,1498500
3049,和鑫 ,光電業,2013,124195087.4,2508.81904,23804682
3051,力特光電 ,光電業,2008,7855034.2,-472858.6669,17488579
3051,力特光電 ,光電業,2009,20625799.48,-77379.73995,15078442
3055,蔚華科技 ,電子通路業,2010,26458068.11,13603.18518,4229076
3055,蔚華科技 ,電子通路業,2014,23973261.79,11982.51629,3555215
3055,蔚華科技 ,電子通路業,2016,17504354.08,7914.487982,4138697
3055,蔚華科技,電子通路業,2017,25928728.95,1492.321512,3672742
3059,華晶科技 ,光電業,2015,69809612.8,3919.846981,15400178
3064,泰偉電子 ,其他電子業,2010,37770070.45,-6111.796914,1323375
3071,協禧電機 ,電腦及週邊設備業,2013,11466330.15,-14444.37739,2613511
3073,凱柏實業 ,半導體業,2015,2787822,-10941.51635,553697
3078,僑威科技 ,電子零組件業,2012,15166986.37,6862.0092,4726930
3083,中華網龍 ,資訊服務業,2015,35910143.6,-8622.967467,1406252
3083,中華網龍 ,資訊服務業,2016,35353065,-2190.30514,1270873
3085,新零售 ,資訊服務業,2010,7034727.7,-186.0768541,714507
3085,新零售 ,資訊服務業,2012,4323460.69,-35698.71708,765900
3089,遠昇 ,電子零組件業,2012,18433710.14,2441.939233,684753
3094,聯傑國際 ,半導體業,2011,11985318.4,4264.133692,1319017
3105,穩懋 ,半導體業,2016,360132497.8,8643.413242,26410639
3115,寶島極 ,電子零組件業,2008,1187084.48,-33280.69793,305722
3141,晶宏 ,半導體業,2009,6799911.3,-5132.714011,641142
3141,晶宏 ,半導體業,2014,25568247.24,4136.654304,1372400
3144,新揚科 ,電子零組件業,2008,2921958,-184172.0518,1308781
3162,精確實業 ,電機機械,2013,4579035.3,-14297.9898,1126804
3167,大量科技 ,電機機械,2015,19314831.9,10214.84427,3007926
3188,鑫龍騰 ,半導體業,2014,6249009.6,-4506.794165,313112
3188,鑫龍騰 ,半導體業,2015,6511953.15,-4728.22812,425251
3188,鑫龍騰 ,半導體業,2015,6511953.15,-4728.22812,425251
3191,和進 ,電子零組件業,2013,9188726.4,9340.249809,929632
3191,和進 ,電子零組件業,2014,9079336.8,-8431.012274,841356
3205,佰研 ,生技醫療業,2011,2856799.68,-16378.46725,319366
3205,佰研 ,生技醫療業,2017,23465181.6,-4867.040961,1062623
3206,志豐電子 ,電子零組件業,2012,4841406.18,10201.99466,904042
3221,台灣嘉碩 ,通信網路業,2017,17294035.2,1992.53671,2407314
3224,三顧 ,電子通路業,2015,12248000,143.1254082,1033583
3226,至寶電 ,電機機械,2017,38787221.2,3630.448267,1347540
3228,金麗科 ,半導體業,2008,25176735.99,31.57676993,843963
3229,晟鈦 ,電子零組件業,2013,36097137.4,1455.627891,1219670
3234,光環 ,通信網路業,2008,10972958.6,7276.159777,1312117
3234,光環 ,通信網路業,2014,41939753.03,6909.411216,2434071
3252,海灣 ,其他業,2008,33710466.81,-11608.0564,216057
3252,海灣 ,其他業,2012,4812000,3835.203658,2125860
3257,虹冠電 ,半導體業,2010,22220800,4593.308972,680038
3260,威剛科技 ,半導體業,2008,17415598.62,-116259.7419,9537387
3260,威剛科技 ,半導體業,2010,84766380.95,-1543.182551,15171169
3266,昇陽建設 ,建材營造業,2011,9911992.56,12575.27175,1821806
3276,宇環 ,電子零組件業,2011,6399625.86,-6524.131397,1305008
3288,點晶科技 ,電子零組件業,2008,7084731.32,1650.591882,733190
3290,東浦精密 ,通信網路業,2016,15539583.29,2227.730265,3046601
3296,勝德國際 ,電子零組件業,2010,38685295.88,4175.436592,2944775
3296,勝德國際 ,電子零組件業,2016,12108222.12,10728.49496,2615329
3306,鼎天國際 ,通信網路業,2010,28253550.36,4352.161,2195069
3306,鼎天國際 ,通信網路業,2012,8436303.59,7249.146424,1766786
3308,聯德電子 ,電子零組件業,2010,19989920,-3014.669393,4092941
3308,聯德電子 ,電子零組件業,2015,7676129.28,11.33383725,2725615
3310,佳穎精密 ,電子零組件業,2010,21357221.16,-4926.436787,983802
3310,佳穎精密 ,電子零組件業,2011,9373064.1,-18621.12519,1034853
3310,佳穎精密 ,電子零組件業,2016,18588296.72,16227.09195,4783976
3310,佳穎精密,電子零組件業,2017,21063226.8,3360.26387,4877874
3317,尼克森微 ,半導體業,2011,7656437.5,-14359.15855,2609603
3323,加百裕 ,電腦及週邊設備業,2008,16651697.51,23218.11333,5727198
3325,旭品科技 ,電腦及週邊設備業,2010,23476054.8,-1950.838861,1844619
3325,旭品科技 ,電腦及週邊設備業,2013,10785968.23,-6484.165214,1472739
3338,泰碩電子 ,電子零組件業,2013,19767150,7267.259064,2142374
3339,泰谷光電 ,光電業,2009,238830879.6,-670.4200072,4132509
3346,麗清 ,汽車工業,2016,40389986,5178.437051,3449131
3362,先進光電 ,光電業,2010,19567088.2,-3433.36726,1016578
3363,上詮 ,通信網路業,2010,9059147,11860.94011,1136712
3379,彬台科技 ,電機機械,2016,3435165.51,-6246.278363,946334
3383,新世紀 ,光電業,2013,46562640.15,-9658.494419,11487358
3402,漢科系統 ,其他電子業,2017,17421852.6,11630.22123,3152301
3416,融程電訊 ,電腦及週邊設備業,2017,36668202,3667.810055,2472848
3437,榮創 ,光電業,2014,67487914,6253.164085,6499578
3452,益通光能 ,光電業,2010,103347052.1,-27125.67937,20348763
3452,益通光能 ,光電業,2014,134065365.6,-5672.53143,9069802
3454,晶睿 ,光電業,2016,61914087.84,8412.237314,3945748
3479,安勤科技 ,電腦及週邊設備業,2012,14087010.99,15999.77456,2065991
3479,安勤科技 ,電腦及週邊設備業,2017,31664707.4,7218.509778,3339218
3481,群創光電 ,光電業,2011,802964193.8,-80252.36803,683665076
3483,力致 ,電腦及週邊設備業,2015,5909472,-6019.488712,3584775
3484,崧騰 ,電子零組件業,2014,21437921.7,10650.33277,3151706
3499,環天科 ,通信網路業,2011,5675181.12,-7895.430833,1261018
3512,能緹 ,電子零組件業,2014,16376800,-453.7516487,920475
3514,昱晶能源 ,光電業,2008,62052556.8,30758.24911,22902576
3520,振維電子 ,電子零組件業,2010,6330043.2,-632.8550807,1342875
3520,振維電子 ,電子零組件業,2016,59358127.5,-1002.878671,782212
3521,鴻翊 ,電腦及週邊設備業,2011,7092467.6,-3142.911784,514400
3521,鴻翊 ,電腦及週邊設備業,2013,4315361.6,-16467.21795,496017
3527,聚積 ,半導體業,2017,22581435.8,6189.863268,2582218
3529,力旺 ,半導體業,2015,274429609.1,1745.842956,2035473
3532,台勝科 ,半導體業,2008,411710223.5,4548.832876,22832041
3532,台勝科 ,半導體業,2010,409722944.1,940.0767165,21776181
3536,誠創科技 ,半導體業,2011,16086142.72,-15906.73441,1268883
3536,誠創科技 ,半導體業,2011,16086142.72,-15906.73441,1268883
3536,誠創科技 ,半導體業,2013,28776323.84,-4937.948321,1977064
3540,曜越科技 ,電腦及週邊設備業,2015,8013543.9,3381.52512,2317789
3541,西柏科技 ,其他電子業,2015,24831644.52,7651.446518,1298051
3550,聯穎 ,電子零組件業,2009,11712000,21419.9112,3751053
3550,聯穎 ,電子零組件業,2009,11712000,21419.9112,3751053
3550,聯穎 ,電子零組件業,2011,6604500,-20012.87001,3882196
3551,世禾 ,其他電子業,2012,17099063.76,12104.4639,2940447
3552,同致電子 ,其他電子業,2010,49853529.88,7321.186702,3556748
3552,同致電子 ,其他電子業,2016,235967181.5,5100.738978,9646961
3557,嘉威光電 ,光電業,2011,15572486.66,-34646.04027,2406771
3557,嘉威光電 ,光電業,2011,15572486.66,-34646.04027,2406771
3563,牧德 ,其他電子業,2017,87772892,5272.060536,1920402
3564,其陽 ,通信網路業,2008,6560472,-6096.36014,266727
3567,逸昌科技 ,半導體業,2011,2400000,-2937.916667,794689
3567,逸昌科技 ,半導體業,2014,4123683.2,8771.527357,524937
3576,新日光 ,光電業,2014,249176607,877.1369136,37324555
3579,尚志 ,半導體業,2009,63235537.2,3901.888257,18809335
3579,尚志 ,半導體業,2015,19304749.1,-49750.24514,22454351
3583,辛耘 ,半導體業,2014,46752291.8,5272.297689,3479275
3583,辛耘 ,半導體業,2015,57146197.7,1501.062248,3641811
3583,辛耘 ,半導體業,2016,47060620,6212.944071,3485890
3583,辛耘 ,半導體業,2017,68724733,4779.341958,3570403
3587,閎康科技 ,其他電子業,2013,25790256.42,8550.74864,1265977
3588,通嘉 ,半導體業,2009,49542444.28,4288.787182,1227063
3588,通嘉 ,半導體業,2012,17009234.76,7267.993049,1318526
3605,宏致 ,電子零組件業,2009,66963624.3,13550.07304,5246815
3605,宏致 ,電子零組件業,2011,48654968.27,14033.24315,6715441
3615,安可光電 ,光電業,2012,36562745.75,4300.962545,3017970
3617,碩天科技 ,其他電子業,2012,30920228.4,12786.35445,4459304
3629,地心引力 ,光電業,2010,48195040.74,340.2839742,512567
3629,地心引力 ,光電業,2017,5091869,-13562.01426,102071
3629,地心引力 ,光電業,2017,5091869,-13562.01426,102071
3631,晟楠 ,電子零組件業,2012,20863558.8,6598.922136,1808765
3642,駿熠電子 ,其他電子業,2016,7804755.9,-13729.96175,754674
3642,駿熠電子 ,其他電子業,2016,7804755.9,-13729.96175,754674
3646,艾恩特 ,電子零組件業,2017,6796683.6,4382.137194,615280
3653,健策 ,電子零組件業,2016,49174942.5,4960.9209,5153452
3666,光耀 ,光電業,2012,1298766,30583.64632,773139
3669,圓展 ,光電業,2014,19549163,1074.726319,2927903
3672,康聯訊 ,通信網路業,2017,6301977,3595.379672,686884
3675,德微科技 ,半導體業,2010,9804580,5316.188965,761074
3679,新至陞 ,電子零組件業,2011,30801851.85,19874.06481,6741309
3680,家登精密 ,半導體業,2013,31892382.36,630.3699665,2628785
3680,家登精密 ,半導體業,2017,27553914.3,618.4602236,3685524
3682,亞太電信 ,通信網路業,2016,445114894.5,-11522.23856,40628109
3682,亞太電信 ,通信網路業,2016,445114894.5,-11522.23856,40628109
3685,元創精密 ,光電業,2017,46954130,596.198886,1501668
3686,達能 ,半導體業,2017,23879510.44,-28926.47241,3262432
3691,碩禾 ,光電業,2010,109261551.3,9756.99125,3472142
3693,營邦 ,電腦及週邊設備業,2013,56524274.25,5080.100608,2132607
3703,欣陸投控 ,建材營造業,2014,96358865.6,-10160.3417,55509044
3704,合勤控 ,通信網路業,2012,67016088.92,-453.2792123,13917475
3709,鑫聯大投控 ,電腦及週邊設備業,2017,16311747.5,1543.30491,3112969
4104,佳醫 ,生技醫療業,2012,52096104,5293.773984,13089074
4106,雃博 ,生技醫療業,2008,8657250,18313.89876,1761015
4113,聯上實業,建材營造業,2010,4273254,4519.50668,1471877
4116,明基醫 ,生技醫療業,2009,2060685,16378.53432,569542
4119,旭富製藥 ,生技醫療業,2015,63756106.05,5864.567697,3457085
4130,健亞 ,生技醫療業,2014,64398175.2,1126.320735,1603735
4147,中裕新藥 ,生技醫療業,2017,463126780,-1132.635863,4502962
4153,鈺緯 ,生技醫療業,2017,17370128.7,-15379.67879,1061592
4154,康樂-KY ,生技醫療業,2012,6328540,11315.88012,449704
4160,創源生技 ,生技醫療業,2015,7516570,-1715.676166,380657
4167,展旺 ,生技醫療業,2016,67794870,-3063.609385,3436648
4173,久裕 ,生技醫療業,2012,9591576,5223.854766,5139636
4173,久裕 ,生技醫療業,2016,8094711.04,3325.875361,6793459
4174,浩鼎 ,生技醫療業,2014,482979392,-1381.025797,1488100
4180,安成藥業 ,生技醫療業,2016,133057133,-1666.06626,7014527
4304,勝昱 ,塑膠工業,2010,10979740,351.1922869,1375198
4304,勝昱 ,塑膠工業,2013,6975715.25,-15157.01204,929789
4304,勝昱 ,塑膠工業,2014,7512767.75,-16251.0015,764617
4304,勝昱 ,塑膠工業,2016,4260680.5,-9312.596896,728692
4306,炎洲 ,塑膠工業,2015,50543830.4,7186.851434,36270547
4414,如興 ,紡織纖維,2015,27654388.5,-17569.58032,2899239
4415,台原藥 ,食品工業,2016,16616068.93,-2992.524899,74450
4426,利勤實業 ,紡織纖維,2012,7176642,20381.53777,1721205
4426,利勤實業 ,紡織纖維,2013,10777478.34,18153.68993,1855402
4503,金雨 ,電機機械,2016,6767926,1942.840392,391913
4513,福裕事業 ,電機機械,2017,7126803.81,2916.735265,2643113
4541,晟田科技 ,其他業,2013,17397818.6,5670.423532,2216350
4555,台灣氣立 ,電機機械,2016,39218432,3538.285263,3108800
4556,旭然國際 ,其他業,2015,11832895.2,2412.004798,887307
4556,旭然國際 ,其他業,2017,10691698,1328.133286,1015151
4557,永新-KY ,電機機械,2015,22839637.5,8189.709666,1791786
4557,永新-KY ,電機機械,2017,24820785.5,7294.491143,1692671
4702,中美實 ,化學工業,2017,12712500,-54982.02557,1929884
4712,南璋 ,食品工業,2017,6052440,-7000.647673,499006
4726,永昕生物 ,生技醫療業,2013,77861916,-1138.284344,1793663
4726,永昕生物 ,生技醫療業,2013,77861916,-1138.284344,1793663
4729,熒茂 ,光電業,2013,10241151,-75956.01315,6826071
4735,豪展醫療 ,生技醫療業,2010,6660600,2814.160886,520640
4735,豪展醫療 ,生技醫療業,2011,3009856,-9425.035616,526288
4735,豪展醫療 ,生技醫療業,2015,10243721.39,5998.503636,782039
4736,泰博 ,生技醫療業,2016,72956648.4,6708.367376,5067265
4743,合一生技 ,生技醫療業,2011,14555385,958.8203953,1387242
4746,台耀 ,生技醫療業,2016,85026085.28,5685.796287,6734413
4755,三福化工 ,化學工業,2016,26222041.5,10914.40573,3679399
4804,大略-KY ,觀光事業,2015,27644141.52,4640.223677,1082010
4906,正文 ,通信網路業,2016,67653852.3,8381.961717,13777362
4907,富宇地產 ,建材營造業,2008,4065675.12,-19461.2205,261349
4907,富宇地產 ,建材營造業,2010,2159435.52,-18227.91171,47819
4907,富宇地產 ,建材營造業,2011,2040800.3,-15941.29519,31436
4907,富宇地產 ,建材營造業,2012,13137665.58,2930.200938,239136
4907,富宇地產 ,建材營造業,2013,25266866.82,7524.478652,2935779
4911,德英 ,生技醫療業,2017,28776220,-1448.557177,788788
4919,新唐科技 ,半導體業,2014,51141404.16,6708.654282,4894027
4933,友輝 ,光電業,2016,16061794.09,10577.52322,3563812
4934,太極能源 ,光電業,2011,14765149.5,-40846.45401,7211384
4934,太極能源 ,光電業,2012,18853117.5,-77102.31478,6840570
4934,太極能源 ,光電業,2013,60857253,3590.927773,6816466
4938,和碩 ,電腦及週邊設備業,2016,1883736489,10266.73057,443945233
4939,亞電 ,電子零組件業,2016,8484557.76,1505.205146,1966066
4946,紅心辣椒 ,資訊服務業,2011,11316985.68,1084.034243,920721
4960,奇美材料 ,光電業,2011,66165281,21595.40439,19304308
4960,奇美材料  ,光電業,2012,121711926,13236.33643,17764448
4960,奇美材料 ,光電業,2014,151160023.4,14875.36817,17966621
4960,奇美材料 ,光電業,2016,70396940.25,-21079.33945,20602792
4968,立積 ,半導體業,2015,36834408.32,3966.019998,1123003
4968,立積 ,半導體業,2015,36834408.32,3966.019998,1123003
4972,湯石照明 ,光電業,2014,8429484.66,11904.40508,1387296
4973,廣穎電通 ,半導體業,2013,16465766.65,16337.6541,2707710
4973,廣穎電通 ,半導體業,2015,9605512.8,5294.459657,2421068
4977,眾達-KY ,通信網路業,2014,26650207.62,9481.427072,1812582
4979,華星光 ,通信網路業,2016,25717251.14,-4463.307504,3383688
4979,華星光 ,通信網路業,2017,31949225.92,-20621.03168,2967795
4984,科納-KY ,通信網路業,2017,18226097.25,-2703.705534,1689882
5011,久陽 ,鋼鐵工業,2017,6622879.9,-7247.149386,1092031
5014,建錩實業 ,鋼鐵工業,2010,11066007.8,9306.698663,6768677
5203,訊連 ,資訊服務業,2013,64842527.75,10917.98893,6355875
5203,訊連 ,資訊服務業,2015,61029247.5,9120.872742,6076178
5206,坤悅 ,建材營造業,2011,10310360,2287.892954,772485
5212,凌網科技 ,資訊服務業,2012,4034744.5,2774.896899,505798
5213,亞昕國際 ,建材營造業,2014,63913321.76,10727.05942,25747682
5213,亞昕國際 ,建材營造業,2015,52946592.72,17259.90197,25352495
5215,科嘉-KY ,電腦及週邊設備業,2015,18322605,12750.42495,2884859
5227,立凱-KY ,電子零組件業,2014,57781373.79,-9745.528067,2832171
5230,雷笛克光學 ,光電業,2015,20066037.9,6116.105263,2531413
5230,雷笛克光學 ,光電業,2016,21123780.42,6393.741902,2167432
5245,智晶 ,光電業,2015,33865020,4273.672362,1096281
5258,虹堡 ,電腦及週邊設備業,2016,29286454.08,10313.67605,2995096
5259,清惠 ,光電業,2015,28381238.4,-21492.5787,924918
5259,清惠 ,光電業,2016,2217114.24,-132854.2277,612449
5263,智崴資訊 ,文化創意業,2013,38771201.62,-154.2897757,987250
5264,鎧勝-KY ,電腦及週邊設備業,2016,275264582.1,10177.93128,50603036
5289,宜鼎國際 ,電腦及週邊設備業,2014,41994027.9,12080.52729,2641206
5289,宜鼎國際 ,電腦及週邊設備業,2017,90501897.5,8484.683981,4639310
5301,寶得利 ,觀光事業,2016,30791475,-5506.58908,1858462
5306,桂盟 ,其他業,2008,2231662.93,-93029.28198,512461
5306,桂盟 ,其他業,2008,2231662.93,-93029.28198,512461
5340,建榮工業 ,電子零組件業,2017,23582174,5186.290289,2122199
5371,中光電 ,光電業,2011,153785777.4,9840.168744,49428981
5371,中光電 ,光電業,2012,178982317.2,4973.474553,47478732
5371,中光電 ,光電業,2012,178982317.2,4973.474553,47478732
5388,中磊電子 ,通信網路業,2014,140487773.5,6757.185885,17988397
5432,達威光電 ,光電業,2016,4282374.6,2668.612877,304194
5434,崇越科技 ,電子通路業,2015,77045741.79,12437.04036,11228275
5443,均豪精密 ,光電業,2014,17123160.29,4237.885926,4435554
5450,寶聯通 ,電腦及週邊設備業,2017,3547617.92,-46.5100819,924784
5452,佶優 ,其他電子業,2008,4019418.88,8559.446285,3634938
5452,佶優 ,其他電子業,2016,14623471.71,2063.805408,3757305
5475,德宏工業 ,電子零組件業,2016,10105985.26,-74048.19825,4087469
5487,通泰 ,半導體業,2015,3862470.25,8855.213836,579461
5522,遠雄建設 ,建材營造業,2010,307276735.5,21786.27676,43628881
5530,龍巖 ,其他業,2016,222010540.5,4404.475562,50976428
5543,崇佑-KY ,建材營造業,2017,6047900,-10414.6894,1082743
5607,遠雄港 ,航運業,2017,28641478.35,9394.591882,6933140
5706,鳳凰旅遊 ,觀光事業,2015,21600557.08,9216.243788,1683554
5905,南仁湖 ,貿易百貨業,2009,27039982.06,-6292.607725,5284795
5905,南仁湖 ,貿易百貨業,2010,45541158.78,-4688.484126,4962176
5907,大洋-KY ,貿易百貨業,2012,136834800,7113.343974,21458456
6101,寬魚國際 ,電子零組件業,2017,43026160.1,776.4113721,1502302
6104,創惟科技 ,半導體業,2013,15392655.18,-12872.43804,1677535
6108,競國實業 ,電子零組件業,2009,42973652.07,14346.18587,6218491
